matrix,axis,sprec_code_or_codes,condition,severity,context_requirement
fluid,P_pre,A|B,< 2 h at RT or 2 to 10 °C,0.00,none
fluid,P_pre,C|D,2–4 h at RT or 2 to 10 °C,0.20,none
fluid,P_pre,E|F,4–8 h at RT or 2 to 10 °C,0.40,none
fluid,P_pre,G|H,8–12 h at RT or 2 to 10 °C,0.60,none
fluid,P_pre,I|J,12–24 h at RT or 2 to 10 °C,0.80,none
fluid,P_pre,K|L,24–48 h at RT or 2 to 10 °C,0.90,none
fluid,P_pre,M|N,> 48 h at RT or 2 to 10 °C,1.00,none
fluid,P_pre,O,< 2 h at 35 to 38 °C,0.25,none
fluid,P_cent1,A|B|C|D,"10 to 15 min, < 3000 g, with or without braking, at RT or 2 to 10 °C",0.00,none
fluid,P_cent1,E|F,"10 to 15 min, 3000 g to 6000 g, with braking",0.33,none
fluid,P_cent1,G|H,"10 to 15 min, 6000 g to 10000 g, with braking",0.66,none
fluid,P_cent1,I|J,"10 to 15 min, > 10000 g, with braking",1.00,none
fluid,P_cent1,M,"RT 30 min, < 1000 g, no braking",0.50,none
fluid,P_cent1,N,"No centrifugation, when the intended specimen workflow is unseparated whole blood, dried blood, or a cellular matrix not requiring plasma or serum separation",0.00,primary_centrifugation=unseparated_or_cellular
fluid,P_cent1,N,"No centrifugation, when plasma, serum, cell-free plasma, platelet-poor plasma, or another separated fluid fraction is required",1.00,primary_centrifugation=separated_fluid_required
fluid,P_cent2,A|B|C|D,"10 to 15 min, < 3000 g, with or without braking, at RT or 2 to 10 °C",0.00,none
fluid,P_cent2,E|F,"10 to 15 min, 3000 g to 6000 g, with braking",0.33,none
fluid,P_cent2,G|H,"10 to 15 min, 6000 g to 10000 g, with braking",0.66,none
fluid,P_cent2,I|J,"10 to 15 min, > 10000 g, with braking",1.00,none
fluid,P_cent2,N,"No second centrifugation, when the intended workflow does not require platelet-poor, cell-free, or highly clarified plasma",0.00,second_centrifugation=not_required
fluid,P_cent2,N,"No second centrifugation, when the intended workflow is routine plasma or serum analysis and second centrifugation is not mandatory but would reduce residual cellular or platelet contamination",0.25,second_centrifugation=routine_plasma_or_serum
fluid,P_cent2,N,"No second centrifugation, when platelet-poor plasma, cell-free plasma, plasma DNA, miRNA, extracellular vesicle, or another low-cell-contamination workflow is required",1.00,second_centrifugation=low_cell_contamination_required
fluid,P_post,A|B,< 1 h at 2 to 10 °C or RT,0.00,none
fluid,P_post,C|D,1 to 2 h at 2 to 10 °C or RT,0.25,none
fluid,P_post,E|F,2 to 8 h at 2 to 10 °C or RT,0.50,none
fluid,P_post,G|H,8 to 24 h at 2 to 10 °C or RT,0.75,none
fluid,P_post,I|J,> 24 h at 2 to 10 °C or RT,1.00,none
fluid,P_post,N,Not applicable,0.00,none
fluid,P_store,C|F|Q|V|W|E|I,"Liquid nitrogen, < −135 °C, or programmable freezing to < −135 °C",0.00,none
fluid,P_store,A|D|G|J|L|S|N|O,"Storage at −85 to −60 °C, including temporary ultra-low storage before liquid nitrogen when applicable",0.25,none
fluid,P_store,B|H|K|M|T,Storage at −35 to −18 °C,0.60,none
