category_id,evidence_category,source_layer,model_input,model_effect,aggregation_policy,not_applicable_rule
sample_level_metadata,Sample-level metadata,MIABIS-derived,"Sample identifier; sample type; matrix type; local sample record","Required for specimen identification and matrix assignment",required,not allowed
donor_source_linkage,Donor or source linkage,MIABIS-derived,"Link between sample and donor/source/originating subject record","Required for contextual interpretation and traceability",required,not allowed
collection_context,Collection context,MIABIS-derived,"Biobank; collection; or research-resource context associated with specimen","Required for interoperable specimen qualification",required,not allowed
event_level_metadata,Event-level metadata,MIABIS-derived,"Collection; processing; storage; shipment; or other time/place-dependent events","Required for reconstructing specimen trajectory",required,not allowed
metadata_completeness,Metadata completeness,MIABIS-derived,"Presence of mandatory descriptive fields needed for interpretation and sharing","Missing critical metadata contributes to governance-gate failure",required,not allowed
quality_management,Quality management,ISO 20387-derived,"Documented quality procedures; operational consistency; quality control; competence-related records","Supports admissibility and auditability",supporting_review,not allowed
traceability,Traceability,ISO 20387-derived,"Unique identification; chain-of-custody evidence; location history; process documentation","Required for governance-gate approval",required,not allowed
nonconformity_control,Nonconformity control,ISO 20387-derived,"Records of deviations; nonconformities; corrective actions; technical restrictions","Critical nonconformities trigger review or restriction",explicit_disposition,not allowed
data_reliability,Data reliability,ISO 20387-derived,"Consistency between sample record; processing history; storage condition; associated metadata","Required for reliable downstream qualification",required,not allowed
biospecimen_handling,Biospecimen handling,ISBER-informed,"Documented collection; processing; storage; retrieval; distribution practices","Supports operational admissibility and reproducibility",supporting_review,not allowed
storage_monitoring,Storage monitoring,ISBER-informed,"Temperature monitoring; cold-chain evidence; freezer status; storage-condition records","Required when thermal control is relevant",conditional_required,"allowed only when thermal_control_relevant=false"
documentation_sops,Documentation and SOPs,ISBER-informed,"Standard operating procedures; processing records; documented handling conditions","Supports governance-gate approval and technical review",supporting_review,not allowed
deviation_documentation,Deviation documentation,ISBER-informed,"Recorded handling deviations; storage failures; processing exceptions","Critical deviations may trigger review or quarantine",explicit_disposition,not allowed
semantic_context_validity,Semantic validity and context compatibility,Controlled terminology/context,"Valid SPREC or controlled terminology values compatible with matrix type; event type; recorded specimen context","Invalid; unrecognized; or severely incompatible codes contribute to governance-gate failure or technical review",explicit_disposition,not allowed
